text,label
AI is transforming the world positively,positive
I love how AI is improving healthcare,positive
AI tools make life easier,positive
Machine learning is amazing,positive
AI innovation is impressive,positive
AI is the future,positive
I enjoy using AI apps,positive
AI helps businesses grow,positive
AI is very useful,positive
Technology like AI is exciting,positive
AI makes work faster,positive
AI is a game changer,positive
AI helps in automation,positive
AI improves efficiency,positive
AI saves time,positive
AI is powerful technology,positive
AI is beneficial for society,positive
AI enhances productivity,positive
AI is advancing rapidly,positive
AI creates new opportunities,positive
AI is helping education sector,positive
AI makes smart decisions,positive
AI improves accuracy,positive
AI is fascinating,positive
AI helps solve problems,positive
AI is innovative,positive
AI supports creativity,positive
AI boosts performance,positive
AI simplifies tasks,positive
AI is revolutionizing industries,positive
AI is overhyped sometimes,negative
AI can be dangerous,negative
I don’t trust AI systems,negative
AI is taking jobs away,negative
AI has privacy issues,negative
AI can be misused,negative
AI is unreliable sometimes,negative
AI lacks human understanding,negative
AI makes mistakes,negative
AI is risky technology,negative
AI causes ethical concerns,negative
AI is not always accurate,negative
AI can lead to unemployment,negative
AI decisions can be biased,negative
AI is confusing,negative
AI is too complex,negative
AI is not safe,negative
AI creates dependency,negative
AI can harm society,negative
AI is problematic,negative
AI fails in real scenarios,negative
AI is not trustworthy,negative
AI is overrated,negative
AI has many flaws,negative
AI is difficult to control,negative
AI lacks emotions,negative
AI can spread misinformation,negative
AI is unpredictable,negative
AI systems crash often,negative
AI is not reliable,negative
AI is evolving rapidly,neutral
AI is being used worldwide,neutral
AI is part of modern technology,neutral
AI is widely discussed,neutral
AI is growing in popularity,neutral
AI is used in many fields,neutral
AI is a trending topic,neutral
AI is used in apps,neutral
AI is developing continuously,neutral
AI is present in daily life,neutral
AI is used in business,neutral
AI is studied in colleges,neutral
AI is integrated into systems,neutral
AI is used in research,neutral
AI is part of innovation,neutral
AI is used in automation,neutral
AI is implemented globally,neutral
AI is a technological advancement,neutral
AI is improving gradually,neutral
AI is being adopted,neutral
AI is used in healthcare,neutral
AI is used in finance,neutral
AI is part of industry,neutral
AI is applied in robotics,neutral
AI is influencing society,neutral
AI is used in education,neutral
AI is being explored,neutral
AI is a modern tool,neutral
AI is widely available,neutral
AI is expanding,neutral
AI is used in analytics,neutral
AI is part of computing,neutral
AI is integrated in devices,neutral
AI is a research field,neutral
AI is evolving technology,neutral
AI is used in communication,neutral
AI is applied in software,neutral
AI is used for data processing,neutral
AI is influencing industries,neutral
AI is growing globally,neutral